time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2024-03-20 23:00,19027.562,18774.843,0.000,0.000,71,384,42
2024-03-20 23:15,19027.612,18774.843,0.000,0.000,123,39,22
2024-03-20 23:30,19027.653,18774.843,0.000,0.000,127,28,22
2024-03-20 23:45,19027.694,18774.843,0.000,0.000,100,62,22
2024-03-21 00:00,19027.733,18774.843,0.000,0.000,114,58,22
2024-03-21 00:15,19027.781,18774.843,0.000,0.000,102,36,22
2024-03-21 00:30,19027.815,18774.843,0.000,0.000,69,64,22
2024-03-21 00:45,19027.852,18774.843,0.000,0.000,108,28,22
2024-03-21 01:00,19027.888,18774.843,0.000,0.000,131,92,22
2024-03-21 01:15,19027.940,18774.843,0.000,0.000,93,28,23
2024-03-21 01:30,19027.973,18774.843,0.000,0.000,104,169,22
2024-03-21 01:45,19028.025,18774.843,0.000,0.000,315,89,22
2024-03-21 02:00,19028.100,18774.843,0.000,0.000,285,28,22
2024-03-21 02:15,19028.175,18774.843,0.000,0.000,75,28,22
2024-03-21 02:30,19028.204,18774.843,0.000,0.000,166,28,22
2024-03-21 02:45,19028.253,18774.843,0.000,0.000,137,329,22
2024-03-21 03:00,19028.308,18774.843,0.000,0.000,123,72,22
2024-03-21 03:15,19028.349,18774.843,0.000,0.000,129,62,22
2024-03-21 03:30,19028.403,18774.843,0.000,0.000,130,64,22
2024-03-21 03:45,19028.450,18774.843,0.000,0.000,68,59,22
2024-03-21 04:00,19028.486,18774.843,0.000,0.000,76,28,22
2024-03-21 04:15,19028.513,18774.843,0.000,0.000,129,333,22
2024-03-21 04:30,19028.565,18774.843,0.000,0.000,99,65,22
2024-03-21 04:45,19028.603,18774.843,0.000,0.000,110,301,22
2024-03-21 05:00,19028.647,18774.843,0.000,0.000,132,134,22
2024-03-21 05:15,19028.696,18774.843,0.000,0.000,50,62,22
2024-03-21 05:30,19028.730,18774.843,0.000,0.000,76,103,22
2024-03-21 05:45,19028.764,18774.843,0.000,0.000,142,115,25
2024-03-21 06:00,19028.832,18774.843,0.000,0.000,148,212,186
2024-03-21 06:15,19028.931,18774.843,0.000,0.000,105,435,27
2024-03-21 06:30,19029.007,18774.843,0.000,0.000,105,104,22
2024-03-21 06:45,19029.057,18774.843,0.000,0.000,102,67,22
2024-03-21 07:00,19029.111,18774.848,0.000,0.000,87,99,22
2024-03-21 07:15,19029.111,18774.898,0.000,0.000,117,406,22
2024-03-21 07:30,19029.111,18774.960,0.000,0.000,540,429,22
2024-03-21 07:45,19029.111,18775.065,0.000,0.000,122,336,22
2024-03-21 08:00,19029.111,18775.151,0.000,0.000,94,113,22
2024-03-21 08:15,19029.111,18775.209,0.000,0.000,128,149,23
2024-03-21 08:30,19029.111,18775.291,0.000,0.000,156,165,23
2024-03-21 08:45,19029.111,18775.378,0.000,0.000,372,115,23
2024-03-21 09:00,19029.111,18775.466,0.000,0.000,316,226,22
2024-03-21 09:15,19029.111,18775.555,0.000,0.000,611,373,23
2024-03-21 09:30,19029.111,18775.727,0.000,0.000,116,343,23
2024-03-21 09:45,19029.111,18775.824,0.000,0.000,116,592,23
2024-03-21 10:00,19029.111,18775.929,0.000,0.000,309,327,22
2024-03-21 10:15,19029.111,18776.057,0.000,0.000,117,303,30
2024-03-21 10:30,19029.111,18776.137,0.000,0.000,79,456,28
2024-03-21 10:45,19029.111,18776.207,0.000,0.000,138,242,23
2024-03-21 11:00,19029.111,18776.284,0.000,0.000,116,255,23
2024-03-21 11:15,19029.111,18776.363,0.000,0.000,97,170,22
2024-03-21 11:30,19029.111,18776.424,0.000,0.000,60,287,23
2024-03-21 11:45,19029.111,18776.491,0.000,0.000,1125,311,23
2024-03-21 12:00,19029.111,18776.740,0.000,0.000,109,513,23
2024-03-21 12:15,19029.111,18776.832,0.000,0.000,88,258,23
2024-03-21 12:30,19029.111,18776.910,0.000,0.000,96,230,23
2024-03-21 12:45,19029.111,18776.990,0.000,0.000,73,208,22
2024-03-21 13:00,19029.111,18777.061,0.000,0.000,70,499,22
2024-03-21 13:15,19029.111,18777.139,0.000,0.000,85,260,23
2024-03-21 13:30,19029.111,18777.220,0.000,0.000,123,298,22
2024-03-21 13:45,19029.111,18777.318,0.000,0.000,108,239,23
2024-03-21 14:00,19029.111,18777.410,0.000,0.000,54,517,22
